N;Nombre;Lugar;Tipo;Latitud;Longitud;;;;
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(iglesiamdsduran),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(estaciondelaaeroviadurán),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(aeroviaduran),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(coopdetransportepresidenteeloyalfaro),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(terminalterrestrededuranluisrodastoral),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(cooperativadetransportesecuador),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(cooperativasmariscalsucretranssan),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(cooperativadetransporterircay),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(medigroup),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(centrodesaludtipocelrecreo),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(clinicamoreno),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(hospitalgeneralde120camasduran),
