N;Nombre;Lugar;Tipo;Latitud;Longitud;;;;
30;iglesiacatolicasangabrielarcangelduran;Iglesia Católica San Gabriel Arcángel - Durán;Iglesia;-2.169409;-79.8290343;;;;(canchasdeindor)-[:DISTANCIA_A {distancia:4.08, recorrido:5.6}]->(parqueacuaticoheroesnacionales),
31;localiglesiadediosenduran;Local Iglesia de Dios en Duran;Iglesia;-2.1776135;-79.8288279;;;;(parquedela5taetapa)-[:DISTANCIA_A {distancia:3.41, recorrido:4.7}]->(parqueacuaticoheroesnacionales),
32;parroquiajesusdelgranpoder;Parroquia Jesús del Gran Poder;Iglesia;-2.1787814;-79.8453193;;;;(parquedela5taetapa)-[:DISTANCIA_A {distancia:5.32, recorrido:9.1}]->(areasverdes),
33;asambleadeiglesiascristianascentral;Asamblea de Iglesias Cristianas Central;Iglesia;-2.182453;-79.8448294;;;;(parqueacuaticoheroesnacionales)-[:DISTANCIA_A {distancia:2.98, recorrido:3.7}]->(areasverdes),
34;iglesiaadventistadel7modialoshelechos;Iglesia Adventista Del 7mo Dia Los Helechos;Iglesia;-2.182453;-79.8448294;;;;(parqueacuaticoheroesnacionales)-[:DISTANCIA_A {distancia:2.92, recorrido:3.5}]->(parque),
35;concatedralsantuariocatolicodivinonino;Concatedral Santuario Católico Divino Niño;Iglesia;-2.1685686;-79.8360094;;;;(areasverdes)-[:DISTANCIA_A {distancia:0.01, recorrido:0.15}]->(parque),
36;iglesiaduran;Iglesia duran;Iglesia;-2.1893597;-79.8535349;;;;(areasverdes)-[:DISTANCIA_A {distancia:1.37, recorrido:2.1}]->(hotellariaduran),
37;iglesiamdsduran;Iglesia MDS Durán;Iglesia;-2.1820205;-79.8538967;;;;(parque)-[:DISTANCIA_A {distancia:1.24, recorrido:2}]->(hotellariaduran),
38;estaciondelaaeroviadurán;Estación de la aerovia Durán;Transporte;-2.1874636;-79.8589169;;;;(parque)-[:DISTANCIA_A {distancia:5.06, recorrido:7.5}]->(iglesiadediosduran),
39;aeroviaduran;AEROVÍA DURÁN;Transporte;-2.1868536;-79.8591039;;;;(hotellariaduran)-[:DISTANCIA_A {distancia:1.29, recorrido:2.1}]->(iglesiadediosduran),
40;coopdetransportepresidenteeloyalfaro;Coop De Transporte PRESIDENTE Eloy Alfaro;Transporte;-2.1781879;-79.8551869;;;;(hotellariaduran)-[:DISTANCIA_A {distancia:3.64, recorrido:6.5}]->(iglesiacatolicasantamariareinadelasfamilias),
41;terminalterrestrededuranluisrodastoral;"Terminal Terrestre de Durán ""Luis Rodas Toral""";Transporte;-2.1788166;-79.8243425;;;;(iglesiadediosduran)-[:DISTANCIA_A {distancia:3.12, recorrido:5}]->(iglesiacatolicasantamariareinadelasfamilias),
42;cooperativadetransportesecuador;Cooperativa De Transportes Ecuador;Transporte;-2.1783624;-79.8239815;;;;(iglesiadediosduran)-[:DISTANCIA_A {distancia:1.46, recorrido:1.9}]->(laiglesiadejesucristosudcapillaponton),
43;cooperativasmariscalsucretranssan;Cooperativas Mariscal Sucre Trans S.A.N.;Transporte;-2.1783624;-79.8239815;;;;(iglesiacatolicasantamariareinadelasfamilias)-[:DISTANCIA_A {distancia:3.88, recorrido:5.8}]->(laiglesiadejesucristosudcapillaponton),
