161,https://www.eluniverso.com/noticias/2020/09/08/nota/7970629/elecciones-presidenciales-ecuador-2021-consejo-nacional-electoral,"Andrés Arauz aceptación candidatura. Andrés Arauz acudió a aceptar su 
precandidatura para la Presidencia de la República por la coalición ...",9 sep. 2020
162,https://www.metroecuador.com.ec/ec/noticias/2020/10/08/guillermo-lasso-andres-arauz-lideran-sondeo-presidenciales-ecuador.html,"Los postulantes a la Presidencia de Ecuador Guillermo Lasso, del movimiento 
de centroderecha CREO, y Andrés Arauz, del correísmo, lideran ...",8 oct. 2020
163,https://www.expreso.ec/actualidad/movimientos-tablero-obligan-rever-estrategia-91163.html,"... el cambio de compañero de fórmula de Andrés Arauz, que será el 
comunicador Carlos Rabascall, en lugar del expresidente Rafael Correa.",3 oct. 2020
164,https://www.larepublica.ec/blog/2020/08/19/lasso-sonnenholzner-empatados-segun-cedatos/,"El exministro correísta Andrés Arauz, el 18 de agosto, anunciando su 
candidatura presidencial. En cuarto lugar, con 9,7%, el empresario ...",19 ago. 2020
165,https://www.telam.com.ar/notas/202010/524352-arauz-ecuador-presidenciales-fmi.html,"El candidato presidencial de Ecuador por la coalición opositora Unión por 
la Esperanza (centroizquierda), Andrés Arauz, advirtió que en caso ...",13 oct. 2020
166,https://www.larepublica.ec/blog/2020/09/19/lasso-338-arauz-14-perez-7-segun-cedatos/,"En segundo lugar, se encuentra el candidato del correísmo, Andrés Arauz, 
con el 16%. Tercero, el candidato de Pachakutik, el Prefecto de ...",19 sep. 2020
167,https://confirmado.net/2020/10/13/andres-arauz-hay-que-hablar-de-los-muertos-por-la-represion-del-gobierno-hace-un-ano-y-tambien-de-los-30-000-muertos-en-exceso-por-la-negligencia/,"Andrés Arauz: “Hay que hablar de los muertos por la represión del gobierno 
hace un año y también de los 30.000 muertos en exceso por la ...",13 oct. 2020
168,https://www.elcomercio.com/actualidad/cne-inscripcion-binomio-izquierda-democratica.html,"El binomio Andrés Arauz y Rafael Correa, de Unes, fue objetado por el 
movimiento Ecuatoriano Unido. El expresidente Correa tiene algunas ...",29 sep. 2020
169,https://www.metroecuador.com.ec/ec/noticias/2020/08/21/andres-arauz-binomio-correa-reacciona-decision-otto-sonnenholzner.html,"Andrés Arauz, binomio de Correa, reacciona a decisión de Otto 
Sonnenholzner. Por Metro Ecuador. Viernes 21 de agosto de 2020, a las ...",21 ago. 2020
170,https://www.expreso.ec/actualidad/reemplazo-hay-papeleta-89624.html,"La posibilidad de que el correísmo presente otro nombre para reemplazar el 
de Rafael Correa en el binomio con Andrés Arauz está intacta, ...",8 sep. 2020
