81,https://en.mercopress.com/2020/12/10/quito-officially-complains-statements-by-cristina-fernandez-questioning-democracy-in-ecuador,"Cristina Fernandez met in Buenos Aires with Ecuadorian citizen Andrés 
Arauz, who is running instead of former populist president Rafael ...",hace 9 horas
82,https://www.larepublica.ec/blog/2020/11/12/luis-gallegos-defiende-pragmatismo-con-eeuu-tras-provechosa-visita/,"Los dos principales aspirantes son el centroderechista Guillermo Lasso y el 
izquierdista Andrés Arauz, heredero del movimiento político que ...",hace 1 mes
83,https://www.efe.com/efe/america/politica/el-binomio-correista-acude-a-la-onu-por-inscripcion-de-su-candidatura-en-ecuador/20000035-4403693,"El binomio afín al exgobernante ecuatoriano Rafael Correa y que está 
integrado por Andrés Arauz y Carlos Rabascall, ha interpuesto una ...",Hace 2 semanas
84,https://www.elcomercio.com/actualidad/arauz-rabascall-elecciones-cne-inscripcion.html,"Binomio de Unes, Andrés Arauz- Carlos Rabascall, inició trámite para 
inscribir su candidatura, este viernes 2 de octubre del 2020. Foto: EL ...",2 oct. 2020
85,https://www.elcomercio.com/actualidad/andres-arauz-correa-binomio-correismo.html,"Andrés Arauz y Rafael Correa será el binomio presidencial con el que el 
correísmo participaría en las elecciones del 2021. Foto: Captura de ...",17 ago. 2020
86,https://confirmado.net/2020/12/03/arauz-anuncia-que-su-gobierno-fortalecera-la-dolarizacion-con-la-adopcion-de-medidas-pragmaticas/,"El candidato a la presidencia por la Lista 1, Andrés Arauz, presentó en 
Quito su propuesta económica para que Ecuador salga de la crisis e ...",hace 6 días
87,https://www.elcomercio.com/actualidad/andres-arauz-bolivia-investidura-arce.html,"El candidato a la presidencia de Ecuador, Andrés Arauz, viajará a Bolivia 
para participar en la investidura de Luis Arce. Foto: Archivo/ EL ...",hace 1 mes
88,https://www.primicias.ec/noticias/politica/plan-andres-arauz-centro-democratico-carondelet/,"El plan de Gobierno del binomio Arauz-Rabascall tiene 11 páginas. El breve 
documento resume la propuesta de Andrés Arauz en igual ...",hace 1 mes
89,https://www.eluniverso.com/noticias/2020/10/30/nota/8033068/elecciones-presidenciales-ecuador-2021-consejo-nacional-electoral,"El Consejo Nacional Electoral (CNE) resolvió calificar la inscripción del 
binomio presidencial de Andrés Arauz y Carlos Rabascall, auspiciados ...",hace 1 mes
90,https://www.eluniverso.com/noticias/2020/09/16/nota/7979968/carlos-rabascall-perfil-elecciones-andres-arauz-correa,"El ingeniero comercial de la Universidad Católica de Santiago de Guayaquil, 
de 59 años, es ahora el nuevo binomio de Andrés Arauz por el ...",16 sep. 2020
