N;Nombre;Lugar;Tipo;Latitud;Longitud;;
30;iglesiacatolicasangabrielarcangelduran;Iglesia Católica San Gabriel Arcángel - Durán;Iglesia;-2.169409;-79.8290343;;(iglesiacatolicasangabrielarcangelduran:Lugar{name:'Iglesia Católica San Gabriel Arcángel - Durán', lat:-2.169409, lon:-79.8290343}),
31;localiglesiadediosenduran;Local Iglesia de Dios en Duran;Iglesia;-2.1776135;-79.8288279;;(localiglesiadediosenduran:Lugar{name:'Local Iglesia de Dios en Duran', lat:-2.1776135, lon:-79.8288279}),
32;parroquiajesusdelgranpoder;Parroquia Jesús del Gran Poder;Iglesia;-2.1787814;-79.8453193;;(parroquiajesusdelgranpoder:Lugar{name:'Parroquia Jesús del Gran Poder', lat:-2.1787814, lon:-79.8453193}),
33;asambleadeiglesiascristianascentral;Asamblea de Iglesias Cristianas Central;Iglesia;-2.182453;-79.8448294;;(asambleadeiglesiascristianascentral:Lugar{name:'Asamblea de Iglesias Cristianas Central', lat:-2.182453, lon:-79.8448294}),
34;iglesiaadventistadel7modialoshelechos;Iglesia Adventista Del 7mo Dia Los Helechos;Iglesia;-2.182453;-79.8448294;;(iglesiaadventistadel7modialoshelechos:Lugar{name:'Iglesia Adventista Del 7mo Dia Los Helechos', lat:-2.182453, lon:-79.8448294}),
35;concatedralsantuariocatolicodivinonino;Concatedral Santuario Católico Divino Niño;Iglesia;-2.1685686;-79.8360094;;(concatedralsantuariocatolicodivinonino:Lugar{name:'Concatedral Santuario Católico Divino Niño', lat:-2.1685686, lon:-79.8360094}),
36;iglesiaduran;Iglesia duran;Iglesia;-2.1893597;-79.8535349;;(iglesiaduran:Lugar{name:'Iglesia duran', lat:-2.1893597, lon:-79.8535349}),
37;iglesiamdsduran;Iglesia MDS Durán;Iglesia;-2.1820205;-79.8538967;;(iglesiamdsduran:Lugar{name:'Iglesia MDS Durán', lat:-2.1820205, lon:-79.8538967}),
38;estaciondelaaeroviadurán;Estación de la aerovia Durán;Transporte;-2.1874636;-79.8589169;;(estaciondelaaeroviadurán:Lugar{name:'Estación de la aerovia Durán', lat:-2.1874636, lon:-79.8589169}),
39;aeroviaduran;AEROVÍA DURÁN;Transporte;-2.1868536;-79.8591039;;(aeroviaduran:Lugar{name:'AEROVÍA DURÁN', lat:-2.1868536, lon:-79.8591039}),
40;coopdetransportepresidenteeloyalfaro;Coop De Transporte PRESIDENTE Eloy Alfaro;Transporte;-2.1781879;-79.8551869;;(coopdetransportepresidenteeloyalfaro:Lugar{name:'Coop De Transporte PRESIDENTE Eloy Alfaro', lat:-2.1781879, lon:-79.8551869}),
41;terminalterrestrededuranluisrodastoral;"Terminal Terrestre de Durán ""Luis Rodas Toral""";Transporte;-2.1788166;-79.8243425;;"(terminalterrestrededuranluisrodastoral:Lugar{name:'Terminal Terrestre de Durán ""Luis Rodas Toral""', lat:-2.1788166, lon:-79.8243425}),"
42;cooperativadetransportesecuador;Cooperativa De Transportes Ecuador;Transporte;-2.1783624;-79.8239815;;(cooperativadetransportesecuador:Lugar{name:'Cooperativa De Transportes Ecuador', lat:-2.1783624, lon:-79.8239815}),
43;cooperativasmariscalsucretranssan;Cooperativas Mariscal Sucre Trans S.A.N.;Transporte;-2.1783624;-79.8239815;;(cooperativasmariscalsucretranssan:Lugar{name:'Cooperativas Mariscal Sucre Trans S.A.N.', lat:-2.1783624, lon:-79.8239815}),
44;cooperativadetransporterircay;COOPERATIVA DE TRANSPORTE RIRCAY;Transporte;-2.1783624;-79.8239815;;(cooperativadetransporterircay:Lugar{name:'COOPERATIVA DE TRANSPORTE RIRCAY', lat:-2.1783624, lon:-79.8239815}),
45;medigroup;Medigroup;Hospital;-2.1797415;-79.8256751;;(medigroup:Lugar{name:'Medigroup', lat:-2.1797415, lon:-79.8256751}),
46;centrodesaludtipocelrecreo;Centro de Salud Tipo C El Recreo;Hospital;-2.1750525;-79.8071282;;(centrodesaludtipocelrecreo:Lugar{name:'Centro de Salud Tipo C El Recreo', lat:-2.1750525, lon:-79.8071282}),
47;clinicamoreno;Clinica Moreno;Hospital;-2.1750525;-79.8071282;;(clinicamoreno:Lugar{name:'Clinica Moreno', lat:-2.1750525, lon:-79.8071282}),
48;hospitalgeneralde120camasduran;Hospital General De 120 Camas - Durán;Hospital;-2.1886777;-79.8303695;;(hospitalgeneralde120camasduran:Lugar{name:'Hospital General De 120 Camas - Durán', lat:-2.1886777, lon:-79.8303695}),
49;artesgraficassenefelder;Artes Graficas Senefelder;Turismo;-2.1873055;-79.8269951;;(artesgraficassenefelder:Lugar{name:'Artes Graficas Senefelder', lat:-2.1873055, lon:-79.8269951}),
50;pisicinaroquetasdemar;Pisicina Roquetas De Mar;Turismo;-2.1639377;-79.7873946;;(pisicinaroquetasdemar:Lugar{name:'Pisicina Roquetas De Mar', lat:-2.1639377, lon:-79.7873946}),
;;;;;;;(parquesanjose)-[:DISTANCIA { distancia:0.25, recorrido: 0.6}]->(parquecdlamodular),
;;;;;;;(parquesanjose)-[:DISTANCIA { distancia:1.4, recorrido: 0.22}]->(parquecdla16deoctubre),
;;;;;;;(parquesanjose)-[:DISTANCIA { distancia:1.96, recorrido: 2.7}]->(parqueacuaticoheroesnacionales),
;;;;;;;(parquecdlamodular)-[:DISTANCIA { distancia:0.5, recorrido: 2.5}]->(parquecdla16deoctubre),
;;;;;;;(parquecdlamodular)-[:DISTANCIA { distancia:4.64, recorrido: 7.1}]->(parquealamadre),
;;;;;;;(parquecdla16deoctubre)-[:DISTANCIA { distancia:2.79, recorrido: 4.6}]->(parquedelaprimavera1),
;;;;;;;(parqueacuaticoheroesnacionales)-[:DISTANCIA { distancia:1.3, recorrido: 2.6}]->(parquedelaprimavera1),
;;;;;;;(parqueacuaticoheroesnacionales)-[:DISTANCIA { distancia:1.71, recorrido: 3.2}]->(parquerecreacionalcdlarioguayas),
;;;;;;;(parquerecreacionalcdlarioguayas)-[:DISTANCIA { distancia:0.96, recorrido: 1.6}]->(parquealamadre),
;;;;;;;(parquedelaprimavera1)-[:DISTANCIA { distancia:1.29, recorrido: 2}]->(parquealamadre),
;;;;;;;(parquedelaprimavera1)-[:DISTANCIA { distancia:0.58, recorrido: 0.6}]->(parquecolinasdelvalle),
;;;;;;;(parquerecreacionalcdlarioguayas)-[:DISTANCIA { distancia:0.32, recorrido: 0.55}]->(parquedelaprimavera1),
